id,desc
FRANCA,França
TRANSIT,Trànsit
JOCSOLIMPICS,Jocs Olímpics
MUSICA,Música
CUBA,Cuba
CORONAVIRUS,Coronavirus 
PEREARAGONES,Pere Aragonès
ACB,ACB
DRETSHUMANS,Drets humans
RACISME,Racisme
MIGRACIONS,Migracions
OPENARMS,Open Arms
VMASCLISTA,Violència masclista
METEOROLOGIA,Meteorologia
POLICIAL,Policial
ELSDINERS,Economia de butxaca
MASCLISME,Masclisme 
SALUT,Salut
JUDICIAL,Judicial
COVID,Covid-19
VACUNES,Vacunes
RESIDENCIES,Residències gent gran 
REGNEUNIT,Regne Unit
ALEMANYA,Alemanya
ESTATSUNITS,Estats Units
PUTAGSCULT,Cultura
PATRIMONI,Patrimoni
TELEVISIO,Televisió
INCENDIS,Incendis
BREXIT,Brexit
UNIOEUROPEA,Unió Europea
TRUMP,Trump 
IRAQ,Iraq
IRAN,Iran
KOEMAN,Koeman
TECNOLOGIA,Tecnologia
BORBON,Borbons
MONARQUIA,Monarquia
AGRESSIOSEX,Agressió sexual
CIENCIA,Ciència
MADRID,Comunitat de Madrid
BCE,Banc Central Europeu
BANCA,Banca
TRAPERO,Josep Lluís Trapero 
MIQUELSAMPER,Miquel Sàmper
VIRAL,Viral 
NADAL,Nadal
MENORS,Menors
ESCOCIA,Escòcia 
CONFINAMENT,Confinament 
QUIMTORRA,Quim Torra
PROCES,Procés català
TEATRE,Teatre
XINA,Xina
ELECCIONSFCB,Eleccions Barça
CINEMA,Cinema
JOEBIDEN,Joe Biden
FASEDESESCAL,Fases de la desescalada
CDR,CDR
ASSANGE,Julian Assange
POBRESA,Pobresa
ART,Art
JUDICIPROCES,Judici procés
ANY2008,2008
HABITATGE,Habitatge
OBITUARI,Obituari
METRO,Metro
RUSSIA,Rússia
EDUCACIO,Educació 
DESESCALADA,Desescalada
ILLESBALEARS,Illes Balears
UNIVERSITAT,Universitat
ELECCIONS21,Eleccions Parlament Catalunya 2021
RAMADERIA,Ramaderia
PROCICAT,Procicat
EXTREMADRETA,Extrema dreta
ELECCIONSEUA,Eleccions Estats Units
ATUR,Atur
ANY2002,2002
LITERATURA,Literatura
PAISVALENCIA,País Valencià
NASA,NASA
ESTACIO,Estació Espacial Internacional
VOX,Vox
VNLA,Veneçuela
MOBILITAT,Mobilitat
FELIPVI,Felip VI
CASAREIAL,Casa Reial espanyola 
EXERCITESP,Exèrcit espanyol
LOTERIA,Loteria
CRISICLIMA,Crisi climàtica
CONTAMINACIO,Contaminació
URBANISME,Urbanisme 
COMERC,Comerç
LLIBEXPRESSI,Llibertat d'expressió 
NAZISME,Nazisme
BITCOIN,Bitcoin
SERIES,Sèries
CORRUPCIO,Corrupció
JXCAT,Junts
ERC,ERC
PSC,PSC
MOSSOS,Mossos d'Esquadra
LLUISPUIG,Lluís Puig
PENYA,Penya
XARXASOCIAL,Xarxes socials 
FACEBOOK,Facebook
TWITTER,Twitter
PSANCHEZ,Pedro Sánchez
PSOE,PSOE
PIGLESIAS,Pablo Iglesias
PODEM,Unides Podem
NBA,NBA
ANY1999,1999
NEVADES,Nevades
MANRESA,Bàsquet Manresa
SEGONAGUERRA,Segona Guerra Mundial
AFRICA,Àfrica
ZIDANE,Zidane
PUTAGSTEMPS,El temps
DRETSLABORAL,Drets laborals
GUARDIACIVIL,Guàrdia Civil
NARCOTRAFIC,Narcotràfic
RECERCA,Recerca científica
ANY1984,1984
EUROLLIGA,Eurolliga
AMBLACULTURA,Impulsem Cultura
SEAT,Seat
ENERGIA,Energia
ENERGETICA,Pobresa energètica
TRUMP,Donald Trump 
TERRORISME,Terrorisme
JIHADISME,Jihadisme 
ESGLESIA,Església
MESSI,Messi
ANIMAL,Maltractament animal
FEMINISME,Feminisme
MERKEL,Angela Merkel
ITALIA,Itàlia
REFERENDUM,Referèndum 1-O
ANY1998,1998
DROGUES,Drogues
MACRON,Emmanuel Macron
TURISME,Turisme
PENADEMORT,Pena de mort
LGTBI,LGTBIQ+
RAMONTREMOSA,Ramon Tremosa
AUTONOMS,Autònoms
ALIMENTACIO,Alimentació
IGUALTATGEN,Igualtat de gènere
CONSUM,Consum
AEROPORTS,Aeroports
SIXENA,Sixena
MEDIAMBIENT,Medi ambient
ECOLOGIA,Ecologia
JOHNSON,Boris Johnson
AJBARCELONA,Ajuntament de Barcelona
TEMPSAZ,El temps de la A a la Z
FRAUFISCAL,Frau fiscal
VILLAREJO,José Manuel Villarejo
ATEMPTATSBCN,Atemptats Barcelona Cambrils
ISRAEL,Israel
PALESTINA,Palestina
HELENAJUBANY,Helena Jubany
TELETREBALL,Teletreball
ARQUEOLOGIA,Arqueologia
PDECAT,PDeCAT
PARLAMENTCAT,Parlament de Catalunya
GUB,Guàrdia Urbana 
MARIHUANA,Marihuana
MINGOTE,Sergi Mingote
SALVADORILLA,Salvador Illa
TOCDEQUEDA,Toc de queda
AMAZONIA,Amazònia
BRASIL,Brasil
BOLSONARO,Jair Bolsonaro
WHATSAPP,WhatsApp
EMPRESA,Empresa
PEDERASTIA,Pederàstia 
INTERNET,Internet
KAMALAHARRIS,Kamala Harris
ASSETJSEXUAL,Assetjament sexual 
GASTRONOMIA,Gastronomia
PUTIN,Vladímir Putin
GUARDIOLA,Guardiola
ALTSASU,Altsasu
PREMISGOYA,Premis Goya
CIFUENTES,Cristina Cifuentes
PUIGDEMONT,Carles Puigdemont
GOVERNPRESO,Govern empresonat
ANY2015,2015
CAT54204,Àustria
PROSTITUCIO,Prostitució
MALVERSACIO,Malversació
LAVOLTA,La Volta
COROMINES,Joan Coromines
DIGITALS,Digital 
ACTUOCLIMA,Jo també actuo pel clima
ANY2009,2009
CATALA,Català 
MITJANSCOM,Mitjans de comunicació
GLORIA,Temporal Gloria
INFRAESTRUCT,Infraestructures
AGRICULTURA,Agricultura
URDANGARIN,Urdangarin
NOOS,Nóos
ANDORRA,Andorra
RODALIES,Rodalies
RENFE,Renfe
ANY2006,2006
CULTPOPULAR,Cultura popular
MODA,Moda
SEGURETAT,Seguretat
RMADRID,Reial Madrid
TSJC,TSJC
FOTOGRAFIA,Fotografia 
HOMOFOBIA,Homofòbia
OMS,OMS
AMAZON,Amazon
AVORTAMENT,Avortament 
VENTADES,Ventades
BOMBERS,Bombers
CUINA,Cuina
POLINACIONAL,Policia Nacional
XENOFOBIA,Xenofòbia
ELECCIONS,Eleccions
PP,PP
EGIPTE,Egipte
GALICIA,Galícia
AVE,AVE
JORDIPUJOL,Jordi Pujol
ALZHEIMER,Alzheimer
AN,Audiència Nacional
ESPIONATGE,Espionatge
SAGRFAMILIA,Sagrada Família
ADACOLAU,Ada Colau
ENCOMU,Comuns
ANDALUSIA,Andalusia
ALBAVERGES,Alba Vergés
MIQUELICETA,Miquel Iceta
TC,Tribunal Constitucional 
RAFANADAL,Rafa Nadal
ARTURMAS,Artur Mas
BORSA,Borsa 
SUPREM,Tribunal Suprem 
DELICTESECO,Delictes econòmics
CS,Cs
CUP,CUP
CANCER,Càncer
TRANSPUBLIC,Transport públic
ANY2012,2012
FAMILIA,Família 
HASEL,Pablo Hasél
PREMISGAUDI,Premis Gaudí
MUSEUS,Museus
EUTANASIA,Eutanàsia
BIOMEDICINA,Biomedicina
MEXIC,Mèxic
FORCADELL,Carme Forcadell
VONDERLEYEN,Ursula von der Leyen
COMISSIOEU,Comissió Europea
MARADONA,Maradona
JOCAPOSTES,Joc i apostes
SOSTENIBILIT,Sostenibilitat
OMNIUM,Òmnium Cultural
JORDICUIXART,Jordi Cuixart
JORDISANCHEZ,Jordi Sànchez
JUNQUERAS,Oriol Junqueras
DOLORSBASSA,Dolors Bassa
RAULROMEVA,Raül Romeva
JORDITURULL,Jordi Turull
JOSEPRULL,Josep Rull
JOAQUIMFORN,Joaquim Forn
LAURABORRAS,Laura Borràs
ESTATALARMA,Estat d'alarma
BIRMANIA,Birmània
ROHINGYES,Rohingyes
BARTOMEU,Josep Maria Bartomeu
RELIGIO,Religió
ISLAM,Islam
ISLAMOFOBIA,Islamofòbia
HIPOTEQUES,Hipoteques
PENSIONS,Pensions
GENERALITAT,Generalitat de Catalunya
PIQUE,Gerard Piqué
ANY1995,1995
MRAJOY,Mariano Rajoy
GRIEZMANN,Griezmann
IGNGARRIGA,Ignacio Garriga
ANY2019,2019
GRETACLIMA,Greta Thunberg
PUTAGSCR,Catalunya Ràdio
PUTAGSTV3,Tv3
CARLESRIERA,Carles Riera
DSABATER,Dolors Sabater
ANY2000,2000
OKLLIGA,OKLliga
AFERNANDEZ,Alejandro Fernández
ANY2017,2017
CRIPTOMONEDA,Criptomonedes
NEYMAR,Neymar
MARQUEZ,Marc Màrquez
ALBIACH,Jéssica Albiach
PAISBASC,País Basc
TSUNAMIDEM,Tsunami Democràtic
ANY2010,2010
MARROC,Marroc
