id,desc
METEOROLOGIA,Meteorologia
TEMPSAZ,El temps de la A a la Z
CULTPOPULAR,Cultura popular
NADAL,Nadal
SERIES,Sèries
ELISABETII,Reina Elisabet II
MONARQUIA,Monarquia
REGNEUNIT,Regne Unit
CARLESIII,Carles III
CONSELLCUINA,Consells de cuina
CUINANADAL,Receptes de Nadal
BB_SOPES,Sopes d'hivern
PUTAGSTV3,Tv3
MITJANSCOM,Mitjans de comunicació
SALUT,Salut
SABATER,Carles Sabater
MUSICA,Música
MASCLISME,Masclisme 
IGUALTATGEN,Igualtat de gènere
SANTJORDI,Sant Jordi 
CIENCIA,Ciència
GENERALS23J,Eleccions Generals 2023 - 23J
RELIGIO,Religió
PIQUE,Gerard Piqué
MESSI,Messi
BARTOMEU,Josep Maria Bartomeu
PUTAGSTEMPS,El temps
INUNDACIONS,Inundacions 
OBITUARI,Obituari
PERSMEDIA,Personatges mediàtics
JORDIPUJOL,Jordi Pujol
EXTREMADRETA,Extrema dreta
BANCA,Banca
CORONAVIRUS,Coronavirus 
MEDIAMBIENT,Medi ambient
SIXENA,Sixena
CRISICLIMA,Crisi climàtica
JOEBIDEN,Joe Biden
ELECCIONSEUA,Eleccions Estats Units
ASSETJESCOLA,Assetjament escolar
TELEVISIO,Televisió
MENORS,Menors
EDUCACIO,Educació 
INTERNET,Internet
SOMDONES,Som dones
REFUGIATS,Refugiats
ELECCIONS21,Eleccions Parlament Catalunya 2021
JOCSOLIMPICS,Jocs Olímpics
ANY2008,2008
ANY2002,2002
ANY1999,1999
ANY1984,1984
ANY1998,1998
ART,Art
PUTAGSCULT,Cultura
PATRIMONI,Patrimoni
POLICIAL,Policial
ESTATSUNITS,Estats Units
RACISME,Racisme
URBANISME,Urbanisme 
COVID,Covid-19
BCE,Banc Central Europeu
ELSDINERS,Economia de butxaca
JUDICIAL,Judicial
VMASCLISTA,Violència masclista
MIGRACIONS,Migracions
OPENARMS,Open Arms
DRETSHUMANS,Drets humans
ACB,ACB
CUBA,Cuba
PEREARAGONES,Pere Aragonès
FRANCA,França
TRANSIT,Trànsit
BREXIT,Brexit
UNIOEUROPEA,Unió Europea
INCENDIS,Incendis
ALEMANYA,Alemanya
RESIDENCIES,Residències gent gran 
VACUNES,Vacunes
VIRAL,Viral 
TRAPERO,Josep Lluís Trapero 
MIQUELSAMPER,Miquel Sàmper
MADRID,Comunitat de Madrid
AGRESSIOSEX,Agressió sexual
TECNOLOGIA,Tecnologia
TRUMP,Trump 
IRAQ,Iraq
IRAN,Iran
BORBON,Borbons
KOEMAN,Koeman
PROCES,Procés català
JUDICIPROCES,Judici procés
ASSANGE,Julian Assange
POBRESA,Pobresa
CDR,CDR
FASEDESESCAL,Fases de la desescalada
MOBILITAT,Mobilitat
CONFINAMENT,Confinament 
ELECCIONSFCB,Eleccions Barça
CINEMA,Cinema
XINA,Xina
TEATRE,Teatre
QUIMTORRA,Quim Torra
ESCOCIA,Escòcia 
ATUR,Atur
PROCICAT,Procicat
CONTAMINACIO,Contaminació
UNIVERSITAT,Universitat
RAMADERIA,Ramaderia
ILLESBALEARS,Illes Balears
METRO,Metro
RUSSIA,Rússia
DESESCALADA,Desescalada
HABITATGE,Habitatge
FELIPVI,Felip VI
CASAREIAL,Casa Reial espanyola 
EXERCITESP,Exèrcit espanyol
LOTERIA,Loteria
VNLA,Veneçuela
VOX,Vox
PAISVALENCIA,País Valencià
LITERATURA,Literatura
NASA,NASA
ESTACIO,Estació Espacial Internacional
XARXASOCIAL,Xarxes socials 
FACEBOOK,Facebook
TWITTER,Twitter
PSANCHEZ,Pedro Sánchez
PSOE,PSOE
PIGLESIAS,Pablo Iglesias
PODEM,Unides Podem
NBA,NBA
LLUISPUIG,Lluís Puig
PENYA,Penya
MOSSOS,Mossos d'Esquadra
CORRUPCIO,Corrupció
JXCAT,Junts
ERC,ERC
PSC,PSC
LLIBEXPRESSI,Llibertat d'expressió 
NAZISME,Nazisme
BITCOIN,Bitcoin
COMERC,Comerç
GUARDIACIVIL,Guàrdia Civil
NARCOTRAFIC,Narcotràfic
RECERCA,Recerca científica
NEVADES,Nevades
AMBLACULTURA,Impulsem Cultura
DRETSLABORAL,Drets laborals
ANY2015,2015
ANY2009,2009
ANY2006,2006
AFRICA,Àfrica
ZIDANE,Zidane
SEGONAGUERRA,Segona Guerra Mundial
MANRESA,Bàsquet Manresa
EUROLLIGA,Eurolliga
TERRORISME,Terrorisme
JIHADISME,Jihadisme 
ENERGIA,Energia
ENERGETICA,Pobresa energètica
SEAT,Seat
PROSTITUCIO,Prostitució
REFERENDUM,Referèndum 1-O
MERKEL,Angela Merkel
ITALIA,Itàlia
FEMINISME,Feminisme
ANIMAL,Maltractament animal
ESGLESIA,Església
LGTBI,LGTBIQ+
PENADEMORT,Pena de mort
AJBARCELONA,Ajuntament de Barcelona
MACRON,Emmanuel Macron
ANY2012,2012
TURISME,Turisme
DROGUES,Drogues
JOHNSON,Boris Johnson
CONSUM,Consum
AEROPORTS,Aeroports
TELETREBALL,Teletreball
ECOLOGIA,Ecologia
ALIMENTACIO,Alimentació
RAMONTREMOSA,Ramon Tremosa
AUTONOMS,Autònoms
ARQUEOLOGIA,Arqueologia
PDECAT,PDeCAT
VILLAREJO,José Manuel Villarejo
HELENAJUBANY,Helena Jubany
ISRAEL,Israel
PALESTINA,Palestina
BOLSONARO,Jair Bolsonaro
AMAZONIA,Amazònia
BRASIL,Brasil
FRAUFISCAL,Frau fiscal
ATEMPTATSBCN,Atemptats Barcelona Cambrils
WHATSAPP,WhatsApp
SALVADORILLA,Salvador Illa
TOCDEQUEDA,Toc de queda
MINGOTE,Sergi Mingote
MARIHUANA,Marihuana
GUB,Guàrdia Urbana 
PARLAMENTCAT,Parlament de Catalunya
PEDERASTIA,Pederàstia 
EMPRESA,Empresa
PUIGDEMONT,Carles Puigdemont
GOVERNPRESO,Govern empresonat
PREMISGOYA,Premis Goya
CIFUENTES,Cristina Cifuentes
ALTSASU,Altsasu
CUINA,Cuina
ACTUOCLIMA,Jo també actuo pel clima
GUARDIOLA,Guardiola
PUTIN,Vladímir Putin
ASSETJSEXUAL,Assetjament sexual 
KAMALAHARRIS,Kamala Harris
GASTRONOMIA,Gastronomia
DIGITALS,Digital 
COROMINES,Joan Coromines
LAVOLTA,La Volta
MALVERSACIO,Malversació
CAT54204,Àustria
RODALIES,Rodalies
RENFE,Renfe
ANDORRA,Andorra
GLORIA,Temporal Gloria
INFRAESTRUCT,Infraestructures
AGRICULTURA,Agricultura
URDANGARIN,Urdangarin
NOOS,Nóos
CATALA,Català 
OMS,OMS
RMADRID,Reial Madrid
HOMOFOBIA,Homofòbia
FOTOGRAFIA,Fotografia 
TSJC,TSJC
MODA,Moda
SEGURETAT,Seguretat
POLINACIONAL,Policia Nacional
VENTADES,Ventades
BOMBERS,Bombers
AVORTAMENT,Avortament 
ANY1995,1995
ANY2019,2019
ANY2000,2000
ANY2017,2017
ANY2010,2010
AMAZON,Amazon
GALICIA,Galícia
ELECCIONS,Eleccions
EGIPTE,Egipte
XENOFOBIA,Xenofòbia
PP,PP
SAGRFAMILIA,Sagrada Família
ADACOLAU,Ada Colau
ENCOMU,Comuns
ESPIONATGE,Espionatge
ALZHEIMER,Alzheimer
AN,Audiència Nacional
AVE,AVE
RAFANADAL,Rafa Nadal
MIQUELICETA,Miquel Iceta
TC,Tribunal Constitucional 
ALBAVERGES,Alba Vergés
ANDALUSIA,Andalusia
CS,Cs
CUP,CUP
TRANSPUBLIC,Transport públic
CANCER,Càncer
ANY2014,2014
DELICTESECO,Delictes econòmics
ANY2020,2020
BORSA,Borsa 
SUPREM,Tribunal Suprem 
ARTURMAS,Artur Mas
PREMISGAUDI,Premis Gaudí
MEXIC,Mèxic
HASEL,Pablo Hasél
FAMILIA,Família 
LAURABORRAS,Laura Borràs
BIOMEDICINA,Biomedicina
ANY1988,1988
EUTANASIA,Eutanàsia
MUSEUS,Museus
VONDERLEYEN,Ursula von der Leyen
COMISSIOEU,Comissió Europea
FORCADELL,Carme Forcadell
JOCAPOSTES,Joc i apostes
MARADONA,Maradona
BIRMANIA,Birmània
ROHINGYES,Rohingyes
ESTATALARMA,Estat d'alarma
SOSTENIBILIT,Sostenibilitat
OMNIUM,Òmnium Cultural
JORDICUIXART,Jordi Cuixart
JORDISANCHEZ,Jordi Sànchez
JUNQUERAS,Oriol Junqueras
DOLORSBASSA,Dolors Bassa
RAULROMEVA,Raül Romeva
JORDITURULL,Jordi Turull
JOSEPRULL,Josep Rull
JOAQUIMFORN,Joaquim Forn
HIPOTEQUES,Hipoteques
GENERALITAT,Generalitat de Catalunya
PENSIONS,Pensions
ISLAM,Islam
ISLAMOFOBIA,Islamofòbia
IGNGARRIGA,Ignacio Garriga
GRIEZMANN,Griezmann
MRAJOY,Mariano Rajoy
CARLESRIERA,Carles Riera
DSABATER,Dolors Sabater
PUTAGSCR,Catalunya Ràdio
GRETACLIMA,Greta Thunberg
AFERNANDEZ,Alejandro Fernández
ELECTORAL,Eleccions Parlament Catalunya 2024
OKLLIGA,OKLliga
ALBIACH,Jéssica Albiach
MARQUEZ,Marc Màrquez
CRIPTOMONEDA,Criptomonedes
NEYMAR,Neymar
MARROC,Marroc
PESCA,Pesca
TSUNAMIDEM,Tsunami Democràtic
PAISBASC,País Basc
INSTAGRAM,Instagram
ANY1996,1996
BRETXASALARI,Bretxa salarial
PRECARIETAT,Precarietat laboral
PREMSA,Llibertat de premsa
UMTITI,Umtiti
ANGELSCHACON,Àngels Chacón
ARRIMADAS,Inés Arrimadas
CARRIZOSA,Carlos Carrizosa
AGULLO,Guillem Agulló
FRANCO,Francisco Franco
MEMHISTORICA,Memòria històrica 
FRANQUISME,Franquisme
MWC,Mobile World Congress
INDEP,Independència
LNFS,LNFS
ETA,ETA
